gene	ct	date	initials	note
SOX6	32.225	2020/11/17	PGRR	
SOX9	27.175	2020/11/17	PGRR	
SOX9	26.065	2020/11/17	PGRR	
SOX9	25.955	2020/11/17	PGRR	
SOX10	29.51	2020/11/17	PGRR	
SOX10	28.17	2020/11/17	PGRR	
SOX10	27.55	2020/11/17	PGRR	
SOX11	24.68	2020/11/17	PGRR	
SOX11	24.875	2020/11/17	PGRR	
SOX11	24.035	2020/11/17	PGRR	
SOX14	35	2020/11/17	PGRR	
SOX14	33.365	2020/11/17	PGRR	
SOX14	33.985	2020/11/17	PGRR	
SP5	32.865	2020/11/17	PGRR	
SP5	32.27	2020/11/17	PGRR	
SP5	32.51	2020/11/17	PGRR	
SPRY1	25.53	2020/11/17	PGRR	
SPRY1	24.725	2020/11/17	PGRR	
SPRY1	24.95	2020/11/17	PGRR	
SYN1	26.04	2020/11/17	PGRR	
SYN1	25.515	2020/11/17	PGRR	
SYN1	25.695	2020/11/17	PGRR	
SYP	28.195	2020/11/17	PGRR	
SYP	26.82	2020/11/17	PGRR	
SYP	26.955	2020/11/17	PGRR	
TAL2	34.49	2020/11/17	PGRR	
TAL2	34.555	2020/11/17	PGRR	
TAL2	35	2020/11/17	PGRR	
TBR1	35	2020/11/17	PGRR	
TBR1	35	2020/11/17	PGRR	
TBR1	35	2020/11/17	PGRR	
TH	35	2020/11/17	PGRR	
TH	35	2020/11/17	PGRR	
TH	35	2020/11/17	PGRR	
TTR	31.93	2020/11/17	PGRR	
TTR	31.545	2020/11/17	PGRR	
TTR	31.39	2020/11/17	PGRR	
VGLUT1	30.155	2020/11/17	PGRR	
VGLUT1	29.765	2020/11/17	PGRR	
VGLUT1	28.685	2020/11/17	PGRR	
WNT1	35	2020/11/17	PGRR	
WNT1	34.645	2020/11/17	PGRR	
WNT1	35	2020/11/17	PGRR	
WNT2B	31.955	2020/11/17	PGRR	
WNT2B	31.64	2020/11/17	PGRR	
WNT2B	30.735	2020/11/17	PGRR	
WNT3A	35	2020/11/17	PGRR	
WNT3A	35	2020/11/17	PGRR	
WNT3A	35	2020/11/17	PGRR	
WNT8B	35	2020/11/17	PGRR	
WNT8B	35	2020/11/17	PGRR	
WNT8B	34.645	2020/11/17	PGRR	
AQP4	30.62	2020/11/17	PGRR	
AQP4	30.285	2020/11/17	PGRR	
AQP4	29.725	2020/11/17	PGRR	
COL3A1_v2	35	2020/11/17	PGRR	
COL3A1_v2	35	2020/11/17	PGRR	
COL3A1_v2	35	2020/11/17	PGRR	
